x1,x2,x3,x4,x5,x6,x7,z
0.319090064269206,0,0.826501840405584,1,0.173498159594416,0.625043405792069,0,0.754056579148576
0.319090064269206,0,0.901387226251672,1,0.0986127737483277,0.633758186043236,0,0.855829203093207
0.319090064269206,0,0.886690311741646,1,0.113309688258354,0.600016000426678,0,0.791894483015053
0.319090064269206,0,0.851732369830312,1,0.148267630169688,0.580682624685464,0,0.523608020906895
0.303765901324936,0,0.813497619714366,1,0.186502380285634,0.600072008641037,0,0.506921799022413
0.303765901324936,0,0.928551949822743,1,0.0714480501772565,0.584362460555534,0,0.596452041247126
0.303765901324936,0,0.986838420610473,1,0.0131615793895268,0.600072008641037,0,0.652923634940529
0.485065502686992,0,0.774647887323944,1,0.225352112676056,0.633802816901408,0,0.619653707251368
0.485065502686992,0,0.887323943661972,1,0.112676056338028,0.633802816901408,0,0.662362741677679
0.333390952962433,0,0.9,1,0.0999999999999999,0.6,0,0.628399631058324
0.333390952962433,0,0.897260273972603,1,0.102739726027397,0.616438356164384,0,0.53081907574647
0.339438591022848,0,0.832116788321168,1,0.167883211678832,0.656934306569343,0,0.548470074971017
0.483023431724056,0,0.891304347826087,1,0.108695652173913,0.652173913043478,0,0.639600108229793
0.483023431724056,0,0.811594202898551,1,0.188405797101449,0.652173913043478,0,0.576195068987708
0.310780531424838,0,0.74,1,0.26,1.48,0,0.791877212248183
0.445586185296255,0,0.7,1,0.3,1,0,0.710377939922684
0.445586185296255,0,0.55,1,0.45,1,0,0.725036224371231
0.445586185296255,0,0.4,1,0.6,1,0,0.743826782393615
0.517122916666667,0,0.677777777777778,1,0.322222222222222,0.666666666666667,0,0.893360329437204
0.59769387755102,0,0.45,1,0.55,0.49,0,1.08079025732791
0.59769387755102,0,0.24,1,0.76,0.49,0,1.07972987178547
0.272454553661408,0,0.649737302977233,1,0.350262697022767,1.0507880910683,0,0.441929789124045
0.56428,0,0.905511811023622,1,0.0944881889763779,0.47244094488189,0,0.540034229638949
0.56428,0,0.669291338582677,1,0.330708661417323,0.47244094488189,0,0.502585851173668
0.56428,0,0.511811023622047,1,0.488188976377953,0.47244094488189,0,0.520369112590729
0.56428,0,0.433070866141732,1,0.566929133858268,0.47244094488189,0,0.512877989907508
0.56428,0,0.354330708661417,1,0.645669291338583,0.47244094488189,0,0.516910888299826
0.56428,0,0.275590551181102,1,0.724409448818898,0.47244094488189,0,0.526412289055289
0.56428,0,0.196850393700787,1,0.803149606299213,0.47244094488189,0,0.53053808049792
0.56428,0,0.118110236220472,1,0.881889763779528,0.47244094488189,0,0.58217869759263
0.56428,0,0.078740157480315,1,0.921259842519685,0.47244094488189,0,0.627311239274341
0.248668898615326,0,0.83,1,0.17,1.5,0,0.952371884259488
0.368816399721904,0,0.76,1,0.24,0.48,0,0.963378239915896
